Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,198,-,-,-,24.85,67.05,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Snow Depth,Wind Speed,GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,11,0,0,2.2,463,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,12,0,0,1.9,602,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,13,0,0,1.5,667,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,14,0,0,1.3,690,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,15,0,0,1.3,627,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,16,0,0,1.2,501,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,17,0,0,1.2,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,18,0,0,1.3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,19,0,0,1.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,20,0,0,1.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,21,0,0,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,22,0,0,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,23,0,0,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,0,0,0,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,1,0,0,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,2,0,0,1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,3,0,0,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,4,0,0,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,5,0,0,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,6,0,0,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,7,0,0,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,8,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,9,0,0,1.9,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,10,0,0,1.6,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,11,0,0,1.2,463,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,12,0,0,0.9,613,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,13,0,0,0.8,693,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,14,0,0,0.5,703,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,15,0,0,0.6,629,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,16,0,0,0.7,503,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,17,0,0,0.9,326,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,18,0,0,1,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,19,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,20,0,0,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,21,0,0,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,22,0,0,1.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,4,23,0,0,1.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,0,0,0,1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,1,0,0,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,2,0,0,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,3,0,0,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,4,0,0,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,5,0,0,3.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,6,0,0,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,7,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,8,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,9,0,0,3.6,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,10,0,0,2.9,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,11,0,0,2.6,468,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,12,0,0,2.3,604,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,13,0,0,1.8,685,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,14,0,0,1.6,693,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,15,0,0,1.6,631,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,16,0,0,1.7,506,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,17,0,0,1.8,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,18,0,0,1.7,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,19,0,0,1.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,20,0,0,1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,21,0,0,1.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,22,0,0,1.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,5,23,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,0,0,0,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,1,0,0,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,6,2,0,0,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
